DrawDate   ,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker                                                                                                                                                                                                                                                                                                                                                                                             ,DrawNumber
02-Apr-2019,2     ,9     ,16    ,26    ,36    ,6           ,7           ,"HFCZ56373"                                                                                                                                                                                                                                                                                                                                                                                                      ,1203
29-Mar-2019,13    ,23    ,26    ,32    ,47    ,6           ,10          ,"MDCW46364"                                                                                                                                                                                                                                                                                                                                                                                                      ,1202
26-Mar-2019,12    ,19    ,23    ,43    ,47    ,2           ,6           ,"XCCN42083"                                                                                                                                                                                                                                                                                                                                                                                                      ,1201
22-Mar-2019,4     ,17    ,26    ,30    ,43    ,6           ,11          ,"HZBQ19496"                                                                                                                                                                                                                                                                                                                                                                                                      ,1200
19-Mar-2019,1     ,6     ,9     ,34    ,47    ,7           ,12          ,"XZBT87632"                                                                                                                                                                                                                                                                                                                                                                                                      ,1199
15-Mar-2019,3     ,15    ,24    ,42    ,46    ,9           ,12          ,"MXBD72461"                                                                                                                                                                                                                                                                                                                                                                                                      ,1198
12-Mar-2019,5     ,7     ,13    ,19    ,31    ,2           ,9           ,"HWZX45330"                                                                                                                                                                                                                                                                                                                                                                                                      ,1197
08-Mar-2019,17    ,18    ,19    ,24    ,40    ,4           ,8           ,"TVZN47116"                                                                                                                                                                                                                                                                                                                                                                                                      ,1196
05-Mar-2019,6     ,10    ,16    ,39    ,46    ,8           ,11          ,"XTXZ22978"                                                                                                                                                                                                                                                                                                                                                                                                      ,1195
01-Mar-2019,6     ,9     ,19    ,26    ,31    ,11          ,12          ,"HRWX12250,HRXD02141,HSXL57825,HSXT12553,HSXW27963,JSXF83856,JSXG19035,JSXJ40181,JSXL47223,JSXP23219,JSXQ86289,JSXR48597,JSXS49929,JSXT30994,JSXV11101,JSXV22155,MSXK51207,MSXN78282,MSXT42864,TPVT61507,TRWV35531,TRWW11319,TSXK12406,TSXK87724,TSXP28079,TSXR05492,VRWV40794,VRWW86241,VSXF81067,VSXJ58887,XSXH12022,XSXQ59121,XSXS66848,XSXV91777,ZSXG53348,ZSXH49579,ZSXJ60292,ZSXK87409,ZSXP92066,ZSXT88428",1194
26-Feb-2019,3     ,15    ,29    ,35    ,47    ,3           ,4           ,"VRXB95094"                                                                                                                                                                                                                                                                                                                                                                                                      ,1193
22-Feb-2019,3     ,27    ,29    ,33    ,50    ,3           ,7           ,"ZQWS94810"                                                                                                                                                                                                                                                                                                                                                                                                      ,1192
19-Feb-2019,1     ,8     ,18    ,19    ,39    ,7           ,9           ,"ZPWK82059"                                                                                                                                                                                                                                                                                                                                                                                                      ,1191
15-Feb-2019,15    ,27    ,34    ,38    ,49    ,2           ,10          ,"HNVD84482"                                                                                                                                                                                                                                                                                                                                                                                                      ,1190
12-Feb-2019,6     ,34    ,36    ,41    ,50    ,1           ,5           ,"XMTP46022"                                                                                                                                                                                                                                                                                                                                                                                                      ,1189
08-Feb-2019,11    ,12    ,13    ,39    ,46    ,7           ,10          ,"XLSX58382"                                                                                                                                                                                                                                                                                                                                                                                                      ,1188
05-Feb-2019,14    ,25    ,31    ,37    ,43    ,2           ,3           ,"XKSJ97339"                                                                                                                                                                                                                                                                                                                                                                                                      ,1187
01-Feb-2019,3     ,21    ,26    ,41    ,46    ,1           ,6           ,"TJRT44157"                                                                                                                                                                                                                                                                                                                                                                                                      ,1186
29-Jan-2019,14    ,24    ,26    ,32    ,39    ,3           ,8           ,"XHRG26506"                                                                                                                                                                                                                                                                                                                                                                                                      ,1185
25-Jan-2019,1     ,6     ,13    ,15    ,16    ,6           ,10          ,"JDPW43224"                                                                                                                                                                                                                                                                                                                                                                                                      ,1184
22-Jan-2019,9     ,23    ,29    ,41    ,49    ,8           ,10          ,"XFQJ91475"                                                                                                                                                                                                                                                                                                                                                                                                      ,1183
18-Jan-2019,5     ,6     ,16    ,30    ,46    ,5           ,10          ,"VDQB54722"                                                                                                                                                                                                                                                                                                                                                                                                      ,1182
15-Jan-2019,22    ,25    ,29    ,33    ,35    ,3           ,6           ,"XCPM11903"                                                                                                                                                                                                                                                                                                                                                                                                      ,1181
11-Jan-2019,1     ,19    ,31    ,39    ,48    ,1           ,6           ,"HBPG95200,MZNS47038"                                                                                                                                                                                                                                                                                                                                                                                            ,1180
08-Jan-2019,3     ,19    ,22    ,31    ,32    ,2           ,11          ,"TZNX43413,VZNR85444"                                                                                                                                                                                                                                                                                                                                                                                            ,1179
04-Jan-2019,7     ,11    ,19    ,27    ,37    ,6           ,10          ,"TXNP16205,XWMV38256"                                                                                                                                                                                                                                                                                                                                                                                            ,1178
01-Jan-2019,1     ,8     ,11    ,25    ,28    ,4           ,6           ,"JWNF16241,MWND07418,MWNJ76318,TWMZ80273,VWMS45774,VWMT93658,XWNF62988,ZWMT39548,ZWMV36493,ZWMV82044"                                                                                                                                                                                                                                                                                                            ,1177
28-Dec-2018,13    ,16    ,34    ,35    ,45    ,10          ,12          ,"MVMK82781,VVMN08823"                                                                                                                                                                                                                                                                                                                                                                                            ,1176
25-Dec-2018,4     ,5     ,8     ,31    ,43    ,2           ,9           ,"JTLV64856,VTLR23560"                                                                                                                                                                                                                                                                                                                                                                                            ,1175
21-Dec-2018,2     ,12    ,15    ,34    ,50    ,3           ,4           ,"MRKR35710,VSLG55127"                                                                                                                                                                                                                                                                                                                                                                                            ,1174
18-Dec-2018,1     ,9     ,18    ,39    ,48    ,5           ,7           ,"XNJN62778,ZRKQ91329"                                                                                                                                                                                                                                                                                                                                                                                            ,1173
14-Dec-2018,12    ,29    ,38    ,42    ,44    ,2           ,12          ,"JQKJ20958,TQKC34517"                                                                                                                                                                                                                                                                                                                                                                                            ,1172
11-Dec-2018,4     ,7     ,13    ,23    ,42    ,1           ,3           ,"VPKB18348,ZPJX54743"                                                                                                                                                                                                                                                                                                                                                                                            ,1171
07-Dec-2018,11    ,17    ,26    ,37    ,48    ,1           ,10          ,"MNJJ51390,VNJH52171"                                                                                                                                                                                                                                                                                                                                                                                            ,1170
04-Dec-2018,19    ,20    ,21    ,42    ,45    ,8           ,9           ,"HKHN34465,XMJB46601"                                                                                                                                                                                                                                                                                                                                                                                            ,1169
30-Nov-2018,3     ,10    ,12    ,23    ,26    ,1           ,12          ,"JLHR83401,TLHR37504"                                                                                                                                                                                                                                                                                                                                                                                            ,1168
27-Nov-2018,4     ,16    ,17    ,18    ,32    ,2           ,11          ,"TKHL01216,TKHN43875"                                                                                                                                                                                                                                                                                                                                                                                            ,1167
23-Nov-2018,5     ,8     ,25    ,26    ,30    ,3           ,10          ,"VJHD70093,XHGR14625"                                                                                                                                                                                                                                                                                                                                                                                            ,1166
20-Nov-2018,6     ,19    ,39    ,45    ,48    ,7           ,12          ,"THGV26758,VHGS04154"                                                                                                                                                                                                                                                                                                                                                                                            ,1165
16-Nov-2018,9     ,10    ,13    ,28    ,41    ,1           ,12          ,"XFGC00904,ZGGJ01297"                                                                                                                                                                                                                                                                                                                                                                                            ,1164
13-Nov-2018,2     ,7     ,10    ,13    ,42    ,3           ,6           ,"TFGG66509,XDFR24341"                                                                                                                                                                                                                                                                                                                                                                                            ,1163
09-Nov-2018,14    ,17    ,32    ,37    ,49    ,11          ,12          ,"MDFW37278,ZDFV82813"                                                                                                                                                                                                                                                                                                                                                                                            ,1162
06-Nov-2018,14    ,24    ,36    ,40    ,43    ,2           ,9           ,"HCFN56475,ZCFM63368"                                                                                                                                                                                                                                                                                                                                                                                            ,1161
02-Nov-2018,5     ,15    ,17    ,37    ,44    ,7           ,11          ,"MBFF83772,VZDQ12070"                                                                                                                                                                                                                                                                                                                                                                                            ,1160
30-Oct-2018,17    ,23    ,27    ,43    ,44    ,1           ,12          ,"VZDW54314,ZZDW27096"                                                                                                                                                                                                                                                                                                                                                                                            ,1159
26-Oct-2018,5     ,18    ,21    ,31    ,35    ,6           ,9           ,"HXDN66244,MXDK39777"                                                                                                                                                                                                                                                                                                                                                                                            ,1158
23-Oct-2018,1     ,2     ,5     ,21    ,32    ,2           ,12          ,"JWCT94655,MWDC86856"                                                                                                                                                                                                                                                                                                                                                                                            ,1157
19-Oct-2018,1     ,3     ,29    ,47    ,48    ,3           ,12          ,"TVCQ40790,VTCF10432"                                                                                                                                                                                                                                                                                                                                                                                            ,1156
16-Oct-2018,15    ,28    ,37    ,40    ,42    ,1           ,6           ,"TTCJ26834,VTCJ34681"                                                                                                                                                                                                                                                                                                                                                                                            ,1155
12-Oct-2018,4     ,9     ,12    ,31    ,43    ,5           ,8           ,"XSCB67628,ZRBL39549"                                                                                                                                                                                                                                                                                                                                                                                            ,1154
09-Oct-2018,3     ,12    ,36    ,44    ,45    ,8           ,11          ,"HRBS92521,MKWL61652"                                                                                                                                                                                                                                                                                                                                                                                            ,1153